dataset,target,n_train,d1_EM,d1_CV_fix,d1_CV_glm,d1_Speed Up Ratio,d1_p,d2_EM,d2_CV_fix,d2_CV_glm,d2_Speed Up Ratio,d2_p,d3_EM,d3_CV_fix,d3_CV_glm,d3_Speed Up Ratio,d3_p
twitter,V78,408275,0.93,0.93,0.93,4.68,77.0,0.93,0.93,0.93,5.04,86.0,,,,,
ct_slices,reference,37450,0.86,0.86,0.86,3.53,379.73,0.92,0.92,0.92,2.84,929.73,,,,,
blog,V281,36677,0.35,0.35,0.35,3.77,275.77,0.43,0.43,0.43,2.79,890.66,,,,,
tomshw,V97,19725,0.96,0.96,0.96,3.82,96.0,0.9,0.96,0.96,1.98,1775.0,,,,,
naval_propulsion,GT_compressor_decay,8353,0.84,0.84,0.84,6.73,15.0,1.0,1.0,1.0,3.3,149.0,1.0,1.0,1.0,2.58,963.0
naval_propulsion,GT_turbine_decay,8353,0.91,0.91,0.91,6.78,15.0,1.0,1.0,1.0,3.3,149.0,1.0,1.0,1.0,2.57,963.0
parkinsons,motor_UPDRS,4112,0.15,0.15,0.15,5.55,19.0,0.24,0.18,0.2,2.89,209.0,-0.25,0.27,0.27,1.86,1539.0
parkinsons,total_UPDRS,4112,0.17,0.17,0.17,5.65,19.0,0.24,0.21,0.22,2.88,209.0,-0.5,0.23,0.23,1.87,1539.0
abalone,Rings,2923,0.53,0.53,0.53,8.48,9.0,0.34,0.34,0.34,5.23,53.0,-0.52,-0.53,-0.53,2.97,209.0
crime,ViolentCrimesPerPop,1395,0.66,0.66,0.66,2.39,99.0,0.67,-0.76,0.66,1.22,5049.0,0.66,-0.25,0.57,1.03,25076.0
airfoil,scaled-sound-pressure,1052,0.51,0.51,0.51,9.85,5.0,0.63,0.63,0.63,8.65,20.0,0.73,0.73,0.73,5.46,55.0
concrete,Concrete compressive strength,721,0.61,0.61,0.61,8.27,8.0,0.78,0.78,0.78,6.41,44.0,0.85,0.85,0.86,3.21,164.0
student,G3,454,0.27,0.27,0.27,5.65,39.0,0.26,-2.25,0.22,1.57,798.4,0.24,-0.43,-0.41,0.92,10530.03
forest,area,361,-0.02,-0.02,-0.05,0.35,26.43,-0.02,-0.03,-0.2,0.22,295.24,-0.03,-316.6,-0.85,0.11,1964.96
boston,medv,354,0.71,0.71,0.71,6.81,13.0,0.85,0.83,0.84,3.62,104.0,0.83,-138.84,0.83,1.85,559.0
facebook,Total Interactions,349,0.9,0.89,0.9,6.82,17.0,-6.57,-21.48,-2.26,3.16,166.99,-19.52,-47567.38,-20.18,1.53,1086.84
diabetes,target,309,0.49,0.49,0.49,7.0,10.0,0.46,0.46,0.46,5.22,65.0,0.42,0.41,0.41,2.43,285.0
real_estate,Y house price of unit area,289,0.56,0.56,0.56,8.7,6.0,0.65,0.65,0.65,6.72,27.0,0.65,0.65,0.65,3.29,83.0
autompg,mpg,274,0.81,0.81,0.81,8.23,7.0,0.86,0.86,0.86,5.49,35.0,0.86,0.87,0.87,2.55,119.0
yacht,Residuary_resistance,215,0.97,0.97,0.97,8.63,6.0,0.97,0.97,0.97,7.02,27.0,0.98,0.98,0.98,3.27,83.0
automobile,price,111,0.91,0.9,0.9,4.47,50.06,0.9,-3575.53,0.89,1.26,1006.81,0.89,-2569.3,0.83,0.64,12076.68
eye,y,84,0.5,0.22,0.45,1.26,200.0,0.2,0.2,0.2,1.07,20300.0,,,,,
ribo,y,49,0.64,0.64,0.64,0.99,4088.0,,,,,,,,,,
